algorithm,graph_type,graph_structure,dag_edges_directed,dag_edges_undirected,dag_nodes,train_size,repetition,seed,categorical,column_order_strategy,column_order,mean_corr_difference,max_corr_difference,propensity_metrics_avg_pMSE,propensity_metrics_pMSE_err,propensity_metrics_avg_acc,propensity_metrics_acc_err,k_marginal_tvd,mean_mi_difference,max_mi_difference,mean_ks_distance,nnaa
vanilla,,,0,0,0,20,0,42,False,original,"[0, 1, 2, 3]",0.014119627335807919,0.0518747996164719,0.002230008786515008,0.00014416295270269045,0.5359407533450665,0.003920064798047333,0.2823333333333333,0.0002811052829020559,0.0002811052829020559,0.094,0.6025
vanilla,,,0,0,0,20,1,43,False,original,"[0, 1, 2, 3]",0.09319341274347871,0.1628172399204904,0.004055268222170916,0.0002989404860422606,0.5549444182409367,0.006575073322149511,0.2734166666666667,0.0002579614468788758,0.0002579614468788758,0.10037499999999999,0.57575
vanilla,,,0,0,0,20,2,44,False,original,"[0, 1, 2, 3]",0.057495424580460204,0.10489260931527183,0.009959543560807835,0.00041970758756313536,0.5881834653693353,0.008716702605590458,0.29724999999999996,0.00012897190128962266,0.00012897190128962266,0.140875,0.56275
vanilla,,,0,0,0,20,3,45,False,original,"[0, 1, 2, 3]",0.058968305774297354,0.11609763481384788,0.0063577380405054566,0.00031643246795549066,0.5783420744914289,0.004327922211811268,0.3065833333333334,0.0002884162410198865,0.0002884162410198865,0.133,0.573
vanilla,,,0,0,0,20,4,46,False,original,"[0, 1, 2, 3]",0.02143944765254896,0.04481287952946311,0.0036922220915662557,0.00036877261788404245,0.5586736117425561,0.008490192941335182,0.23666666666666666,0.00035908377658044655,0.00035908377658044655,0.053875,0.5595
vanilla,,,0,0,0,20,5,47,False,original,"[0, 1, 2, 3]",0.23569890399936747,0.4674979730343203,0.0051069700699258895,0.0005603243852044449,0.5521209011602932,0.008077025217593304,0.27566666666666667,0.0002811052829020559,0.0002811052829020559,0.08900000000000001,0.558
vanilla,,,0,0,0,20,6,48,False,original,"[0, 1, 2, 3]",0.10636817875356776,0.18846477059986433,0.011645062148942325,0.0003921601101510299,0.592574561800201,0.005915155376744644,0.32866666666666666,0.00024976667959765404,0.00024976667959765404,0.15687500000000001,0.60475
vanilla,,,0,0,0,20,7,49,False,original,"[0, 1, 2, 3]",0.200972635495184,0.4392841678832416,0.032989042907940316,0.0010386461014766997,0.6648529862853613,0.005872638484518726,0.3385,0.00011169294289112423,0.00011169294289112423,0.13,0.6212500000000001
vanilla,,,0,0,0,20,8,50,False,original,"[0, 1, 2, 3]",0.16143554121487472,0.27275565781980154,0.008885736899157443,0.0002037899867129976,0.5604589444311859,0.005495131223378196,0.2743333333333333,0.0002811349729704195,0.0002811349729704195,0.103375,0.56025
vanilla,,,0,0,0,20,9,51,False,original,"[0, 1, 2, 3]",0.15795123653516108,0.3253110580049579,0.003476879211309803,0.00039560962493445797,0.5651971409878028,0.005713696814431994,0.2605833333333334,0.00012897190128954416,0.00012897190128954416,0.049,0.6045
vanilla,,,0,0,0,50,0,42,False,original,"[0, 1, 2, 3]",0.0468094438976569,0.10245169598974124,0.003454287063152708,0.00033489953871908393,0.5510433166233504,0.014411797757287802,0.30208333333333337,0.00028110663211309206,0.00028110663211309206,0.09937500000000002,0.5655
vanilla,,,0,0,0,50,1,43,False,original,"[0, 1, 2, 3]",0.18540560578408835,0.37571227292693143,0.004758804469571742,0.00034748369940383383,0.5712397672681332,0.008407293376510888,0.26525000000000004,0.0002811052829020559,0.0002811052829020559,0.0775,0.55
vanilla,,,0,0,0,50,2,44,False,original,"[0, 1, 2, 3]",0.11917029656707251,0.2276006864614939,0.004001783623837333,0.00021251184605534696,0.5619236607197589,0.006318250783845836,0.2654166666666667,0.0002579614468788562,0.0002579614468788562,0.10437500000000001,0.55325
vanilla,,,0,0,0,50,3,45,False,original,"[0, 1, 2, 3]",0.016539372994510887,0.03965594747399619,0.0034341724494942037,9.476567190181967e-05,0.5471849838329664,0.004542321372129383,0.23816666666666672,0.00036482089561254926,0.00036482089561254926,0.083,0.55575
vanilla,,,0,0,0,50,4,46,False,original,"[0, 1, 2, 3]",0.1275783631889704,0.25266750336729926,0.0033486236187850785,0.00024240305756531824,0.5334081078216585,0.0073240295030882465,0.23825000000000005,0.00012897778261099983,0.00012897778261099983,0.059375,0.5345
vanilla,,,0,0,0,50,5,47,False,original,"[0, 1, 2, 3]",0.04144168923455388,0.09176118548808913,0.0004151195266546688,5.567590903709901e-05,0.5132701997119002,0.0051990426554429404,0.2235,0.00022339607229778465,0.00022339607229778465,0.038,0.51625
vanilla,,,0,0,0,50,6,48,False,original,"[0, 1, 2, 3]",0.1322620767116231,0.2599628888302591,0.006765518592782535,0.0001675003232395167,0.5604800701409662,0.008163064971568768,0.25875000000000004,0.00017061823426692163,0.00017061823426692163,0.107625,0.5527500000000001
vanilla,,,0,0,0,50,7,49,False,original,"[0, 1, 2, 3]",0.07396279947903094,0.15749796128983642,0.008717623444647452,0.00037750380904938365,0.5709467960495683,0.003815966632945689,0.2591666666666667,0.0001706293495351986,0.0001706293495351986,0.11862500000000001,0.53975
vanilla,,,0,0,0,50,8,50,False,original,"[0, 1, 2, 3]",0.028853840902443542,0.07024352431886653,0.005228935207465007,0.0002775686936731773,0.5581709342033955,0.005867448370943641,0.24708333333333335,0.00017062934953516892,0.00017062934953516892,0.107375,0.5367500000000001
vanilla,,,0,0,0,50,9,51,False,original,"[0, 1, 2, 3]",0.025836020821517997,0.05284401209647867,0.0034658459864496,0.00011288020334805766,0.5506545963113167,0.002539577392221083,0.22891666666666666,0.00021388456882060213,0.00021388456882060213,0.052,0.546
vanilla,,,0,0,0,100,0,42,False,original,"[0, 1, 2, 3]",0.06460458431367018,0.1274812338460194,0.001617581478206058,0.00020157022777063586,0.54516790048268,0.008125926695881155,0.26833333333333337,0.00022339607229778465,0.00022339607229778465,0.079625,0.53575
vanilla,,,0,0,0,100,1,43,False,original,"[0, 1, 2, 3]",0.018274011091748397,0.03169464366841568,0.0017923585654598486,0.0001238226812462198,0.5369519366913047,0.010296852026598979,0.20775000000000002,0.00021388456882064948,0.00021388456882064948,0.051625,0.503
vanilla,,,0,0,0,100,2,44,False,original,"[0, 1, 2, 3]",0.10051842911771902,0.1962543552791987,0.0014173521575832422,0.00015065488448893512,0.5381264985467828,0.01050630690093609,0.24116666666666667,0.00018239797064362312,0.00018239797064362312,0.07212500000000001,0.51075
vanilla,,,0,0,0,100,3,45,False,original,"[0, 1, 2, 3]",0.06242076510550401,0.1234986742908105,0.0026270130136672384,0.0002630937484554828,0.541801089891891,0.009792589182571984,0.22891666666666668,0.00022339607237508623,0.00022339607237508623,0.06725,0.52725
vanilla,,,0,0,0,100,4,46,False,original,"[0, 1, 2, 3]",0.052045635108331025,0.10781512944712332,0.00498759883759021,0.000430655641154392,0.5661781353836137,0.007383725424699807,0.2171666666666667,0.00018239797064362312,0.00018239797064362312,0.04175,0.515
vanilla,,,0,0,0,100,5,47,False,original,"[0, 1, 2, 3]",0.06487776680905766,0.1435136004518625,0.0011682632350624334,9.961674851856105e-05,0.5247061396370087,0.008277273560167893,0.22566666666666668,0.00021388456882064948,0.00021388456882064948,0.042499999999999996,0.5117499999999999
vanilla,,,0,0,0,100,6,48,False,original,"[0, 1, 2, 3]",0.04541712705646647,0.09271220528301281,0.0044373393596815105,0.00023258120963914642,0.549393751829993,0.007573241741423007,0.21766666666666667,0.0002579614468788562,0.0002579614468788562,0.072125,0.527
vanilla,,,0,0,0,100,7,49,False,original,"[0, 1, 2, 3]",0.020407668171196245,0.03566350134877638,0.00211506738347825,0.0002372472225424196,0.5275830009449398,0.008603520653405148,0.21191666666666667,0.0002579614468788758,0.0002579614468788758,0.065125,0.52
vanilla,,,0,0,0,100,8,50,False,original,"[0, 1, 2, 3]",0.028226511620085635,0.059930810134711146,0.001109376303804041,0.00017624539118955027,0.5231726905790705,0.009712598680313224,0.21458333333333335,0.00018239797064362312,0.00018239797064362312,0.042125,0.5117499999999999
vanilla,,,0,0,0,100,9,51,False,original,"[0, 1, 2, 3]",0.0393968700645474,0.08074047816021304,0.0016716918096334396,8.882865835294654e-05,0.5336914799039753,0.0018113286299061104,0.21350000000000002,0.0001824104473321518,0.0001824104473321518,0.047,0.5257499999999999
vanilla,,,0,0,0,200,0,42,False,original,"[0, 1, 2, 3]",0.04671823384262799,0.08123590299060708,0.0005069384478696951,7.941796876623286e-05,0.5083737246688756,0.008246212469973842,0.24025,0.00021388456882064948,0.00021388456882064948,0.0615,0.5205
vanilla,,,0,0,0,200,1,43,False,original,"[0, 1, 2, 3]",0.018627445630243586,0.0546420367240249,0.002049698973760073,0.0001557651109844164,0.5368130228754877,0.00467064170290939,0.2124166666666667,0.00025796144687881696,0.00025796144687881696,0.050125,0.53
vanilla,,,0,0,0,200,2,44,False,original,"[0, 1, 2, 3]",0.08903424955685868,0.18996008697523437,0.0007872242605508507,9.683482741218155e-05,0.5101478317490729,0.005370085134311632,0.21325000000000005,0.0001706182342668623,0.0001706182342668623,0.042624999999999996,0.518
vanilla,,,0,0,0,200,3,45,False,original,"[0, 1, 2, 3]",0.014524673349397882,0.028518754318560033,0.0004483423502588513,2.7678006300253655e-05,0.5083592563781669,0.008354027824922857,0.20550000000000002,0.00011169294289112423,0.00011169294289112423,0.0225,0.5057499999999999
vanilla,,,0,0,0,200,4,46,False,original,"[0, 1, 2, 3]",0.015329768048458287,0.03128259081112261,0.0013564609613495326,0.00013826348134385585,0.5236624241421841,0.008748248644198065,0.21725000000000003,0.0002811052829020559,0.0002811052829020559,0.044500000000000005,0.516
vanilla,,,0,0,0,200,5,47,False,original,"[0, 1, 2, 3]",0.06763136539840023,0.14260509960964435,0.001669493621591501,0.00010135970515146327,0.5335072883784877,0.0025148007227232105,0.22866666666666666,0.00018239797064362312,0.00018239797064362312,0.034375,0.5149999999999999
vanilla,,,0,0,0,200,6,48,False,original,"[0, 1, 2, 3]",0.0341153755894593,0.07296560324083001,0.0024420393740104372,0.00032369398311629096,0.5441002369690835,0.006418502575146575,0.21091666666666672,0.00022339607237517687,0.00022339607237517687,0.038375,0.5177499999999999
vanilla,,,0,0,0,200,7,49,False,original,"[0, 1, 2, 3]",0.0034120238377992715,0.007326515479047727,0.0018941855212784744,0.00012294446018627748,0.527232735565072,0.006764566697750287,0.20975000000000002,0.0001824104473321518,0.0001824104473321518,0.05375,0.5
vanilla,,,0,0,0,200,8,50,False,original,"[0, 1, 2, 3]",0.0337148126126983,0.07480040990309361,0.0008851811742987964,5.948003290909919e-05,0.5099327360007279,0.004428322816747981,0.223,0.000249762124049477,0.000249762124049477,0.045,0.522
vanilla,,,0,0,0,200,9,51,False,original,"[0, 1, 2, 3]",0.04703452664543153,0.10550146372874863,0.0006799775728081232,4.8067495879633375e-05,0.5091075271221559,0.010148840887394237,0.22175000000000003,0.00017061823426692163,0.00017061823426692163,0.051875000000000004,0.52525
vanilla,,,0,0,0,500,0,42,False,original,"[0, 1, 2, 3]",0.010552274767185585,0.01884522398199462,0.000516046575167827,0.00016285447997081652,0.5119747674311258,0.00983941827417241,0.21466666666666664,0.000249786423224071,0.000249786423224071,0.037500000000000006,0.50925
vanilla,,,0,0,0,500,1,43,False,original,"[0, 1, 2, 3]",0.023727486665437957,0.04800950731111915,0.00010086643479273645,2.842115626587985e-05,0.4879587392666226,0.004623741748045818,0.2070833333333333,0.0002811052829020559,0.0002811052829020559,0.02875,0.50625
vanilla,,,0,0,0,500,2,44,False,original,"[0, 1, 2, 3]",0.05078799709437742,0.10530913740795717,0.0007270333002822267,7.115009058586289e-05,0.5201410575280523,0.0077631114606729395,0.2051666666666667,0.0002811052829020559,0.0002811052829020559,0.04,0.49175
vanilla,,,0,0,0,500,3,45,False,original,"[0, 1, 2, 3]",0.011458336121642999,0.016003928525090763,0.0009242657387853514,0.00011172068715027087,0.5194545537045069,0.008954544718067045,0.20966666666666664,0.00011169294289112423,0.00011169294289112423,0.03,0.506
vanilla,,,0,0,0,500,4,46,False,original,"[0, 1, 2, 3]",0.02706674749723055,0.0619290061153788,0.00027114214549576836,6.160128183179157e-05,0.49547539578009464,0.006170092831998352,0.20725000000000002,0.0002234062594323573,0.0002234062594323573,0.0305,0.521
vanilla,,,0,0,0,500,5,47,False,original,"[0, 1, 2, 3]",0.026020874314547637,0.05622188753893093,0.0005019919009069554,0.00010954757716333481,0.5073527803549431,0.006430772182373324,0.2191666666666667,0.00018239797064362312,0.00018239797064362312,0.04175,0.51125
vanilla,,,0,0,0,500,6,48,False,original,"[0, 1, 2, 3]",0.011889497775733067,0.023425920632413246,0.0002598426272948399,5.587033824251739e-05,0.5115771108276659,0.005689373091844066,0.20966666666666667,0.0001824104473321518,0.0001824104473321518,0.035875000000000004,0.5075
vanilla,,,0,0,0,500,7,49,False,original,"[0, 1, 2, 3]",0.022839045032646565,0.04646057629942291,0.0008825404677692394,6.75592743440961e-05,0.5262232279585769,0.005281669103940425,0.20633333333333334,0.00011169973400465465,0.00011169973400465465,0.04,0.5165
vanilla,,,0,0,0,500,8,50,False,original,"[0, 1, 2, 3]",0.02519005564304315,0.050882755035605166,0.00036121854802670774,7.273941904564616e-05,0.508717727511818,0.00843160633177768,0.21466666666666667,0.0002579614468788758,0.0002579614468788758,0.029875000000000002,0.5057499999999999
vanilla,,,0,0,0,500,9,51,False,original,"[0, 1, 2, 3]",0.0780170531556501,0.16774505672973125,0.0006308953283596739,0.0001107164411466351,0.5145314939967349,0.008220556757190259,0.215,0.0002579555649539444,0.0002579555649539444,0.028374999999999997,0.5135000000000001
vanilla,,,0,0,0,20,0,42,False,worst,"[1, 2, 3, 0]",0.10190546958855175,0.21580915980780446,0.0037169126751901496,0.00026785670056544297,0.5543736683687918,0.009595316588482635,0.3101666666666667,0.00024977579182961684,0.00024977579182961684,0.094375,0.5934999999999999
vanilla,,,0,0,0,20,1,43,False,worst,"[1, 2, 3, 0]",0.13986936764580157,0.21393292157131782,0.0036534001394700915,0.00039410538334268524,0.5346581909693162,0.010225471838098398,0.29408333333333336,0.0003869843258520778,0.0003869843258520778,0.10462500000000001,0.57375
vanilla,,,0,0,0,20,2,44,False,worst,"[1, 2, 3, 0]",0.10612766773560689,0.16901328742649546,0.007702233793043016,0.0003346547364439205,0.5640070509829608,0.004792890437070583,0.3116666666666667,0.0002811052829020559,0.0002811052829020559,0.142125,0.5902499999999999
vanilla,,,0,0,0,20,3,45,False,worst,"[1, 2, 3, 0]",0.13021805852326848,0.2466117396332524,0.007974696835341775,0.0005928220170291561,0.5864294886803474,0.005729154987892299,0.3255833333333334,0.00011169294289112423,0.00011169294289112423,0.145375,0.58225
vanilla,,,0,0,0,20,4,46,False,worst,"[1, 2, 3, 0]",0.09513878458547648,0.16961589366550212,0.0013592485277908858,0.0002986731346486144,0.5390512363487411,0.007809617566704676,0.27133333333333337,0.0002579761521101981,0.0002579761521101981,0.056749999999999995,0.5602499999999999
vanilla,,,0,0,0,20,5,47,False,worst,"[1, 2, 3, 0]",0.2736857917850807,0.5202188699193789,0.004720636447715643,0.00037067706086553633,0.5482345466443089,0.010400805313114565,0.2859166666666667,0.0003869588356256957,0.0003869588356256957,0.10475000000000001,0.5535
vanilla,,,0,0,0,20,6,48,False,worst,"[1, 2, 3, 0]",0.15850035295095888,0.3049783451956603,0.012638573936389652,0.0004485632284678205,0.5970738746052493,0.006029078010320481,0.36716666666666664,0.00018239797064362312,0.00018239797064362312,0.17162499999999997,0.64
vanilla,,,0,0,0,20,7,49,False,worst,"[1, 2, 3, 0]",0.15852807441020225,0.31650731562028334,0.03392820217786101,0.0012957616621040598,0.6549157866200412,0.008427576187291896,0.3431666666666667,0.00011169294289112423,0.00011169294289112423,0.133875,0.605
vanilla,,,0,0,0,20,8,50,False,worst,"[1, 2, 3, 0]",0.10262411883923282,0.15546515509982717,0.008213496440899372,0.0002872506765533825,0.5683442935941002,0.004385631217353672,0.2773333333333334,0.0002497757918296574,0.0002497757918296574,0.111375,0.5655
vanilla,,,0,0,0,20,9,51,False,worst,"[1, 2, 3, 0]",0.14002264665429767,0.28877939407974107,0.0016174052502872592,0.0002669096584304534,0.544456120920654,0.0022443074555167876,0.29291666666666666,0.00021388456882057846,0.00021388456882057846,0.07137500000000001,0.61775
vanilla,,,0,0,0,50,0,42,False,worst,"[1, 2, 3, 0]",0.024299649708876537,0.04864368265910052,0.004653959396409117,0.00020653365580126356,0.5671191854740448,0.006611544904619801,0.3016666666666667,0.00017061823426692163,0.00017061823426692163,0.110125,0.56925
vanilla,,,0,0,0,50,1,43,False,worst,"[1, 2, 3, 0]",0.14078970838581387,0.2764167552333664,0.004323412618698026,0.0002590108556324753,0.5684369373858447,0.005893554464427634,0.24216666666666667,0.00011169294289112423,0.00011169294289112423,0.07575,0.534
vanilla,,,0,0,0,50,2,44,False,worst,"[1, 2, 3, 0]",0.11297299248443532,0.2161160328046826,0.004017021230836915,0.0002654292290780554,0.5666064405832179,0.00627563001003311,0.26591666666666675,0.00011169973477880783,0.00011169973477880783,0.10075,0.56575
vanilla,,,0,0,0,50,3,45,False,worst,"[1, 2, 3, 0]",0.04310342238120241,0.07953373757040788,0.0031659676247743984,0.00021545866348399392,0.541323796970574,0.008832434762462016,0.24083333333333334,0.0002811052829020559,0.0002811052829020559,0.08925,0.5375
vanilla,,,0,0,0,50,4,46,False,worst,"[1, 2, 3, 0]",0.08123554567770756,0.163301591556743,0.0035737084672367325,0.00023484942862976317,0.5420946486603988,0.0022259965838093867,0.24116666666666672,0.00011169294289112423,0.00011169294289112423,0.063,0.52125
vanilla,,,0,0,0,50,5,47,False,worst,"[1, 2, 3, 0]",0.03374245585685012,0.07243196447681592,0.0005321253288794438,0.00012459841994717368,0.5100765453351592,0.005940517669743147,0.21033333333333334,0.0002811052829020559,0.0002811052829020559,0.037500000000000006,0.5197499999999999
vanilla,,,0,0,0,50,6,48,False,worst,"[1, 2, 3, 0]",0.07713719062676089,0.14386713525655173,0.006131807247638179,0.00019304405089715226,0.5606154579351662,0.00971520740788945,0.25866666666666666,0.00012897778261099983,0.00012897778261099983,0.106625,0.546
vanilla,,,0,0,0,50,7,49,False,worst,"[1, 2, 3, 0]",0.08984171774514697,0.17946321833871873,0.007948445182131631,0.00013189501705726815,0.5689116579628578,0.003541451107191327,0.2616666666666667,0.00011169633849943373,0.00011169633849943373,0.11700000000000002,0.55
vanilla,,,0,0,0,50,8,50,False,worst,"[1, 2, 3, 0]",0.04915340567096488,0.14948319664982285,0.00450122706722415,0.00028513235074820555,0.5588557103475174,0.004861606748867176,0.23925000000000005,0.00036482089561254926,0.00036482089561254926,0.07799999999999999,0.533
vanilla,,,0,0,0,50,9,51,False,worst,"[1, 2, 3, 0]",0.03554966105956236,0.07836499923515669,0.0030382591996343205,0.00010652935980590264,0.5451387131988584,0.004063582605431703,0.22975,0.00011169633849943375,0.00011169633849943375,0.057875,0.5345
vanilla,,,0,0,0,100,0,42,False,worst,"[1, 2, 3, 0]",0.06730649723841152,0.13379732763562335,0.0009322016537803704,8.777347536712824e-05,0.5351174335548725,0.0047648956805573135,0.27591666666666664,0.0002811052829020559,0.0002811052829020559,0.08299999999999999,0.55325
vanilla,,,0,0,0,100,1,43,False,worst,"[1, 2, 3, 0]",0.0240630051363472,0.049384920139936214,0.0013098219087398807,8.445696657541185e-05,0.5267736519794176,0.006312097761393234,0.215,0.00017062934953528762,0.00017062934953528762,0.049125,0.514
vanilla,,,0,0,0,100,2,44,False,worst,"[1, 2, 3, 0]",0.0901224836659094,0.18426288361984786,0.0010912084126201917,7.734398699911717e-05,0.5308316362364387,0.005577649438245092,0.23550000000000001,0.00017061823426692163,0.00017061823426692163,0.059125,0.519
vanilla,,,0,0,0,100,3,45,False,worst,"[1, 2, 3, 0]",0.039953588978684014,0.054247962502344316,0.0024514894832137054,0.00012563626247083043,0.527976786559656,0.0071745101524379505,0.23533333333333337,2.220446049250313e-16,2.220446049250313e-16,0.074875,0.55125
vanilla,,,0,0,0,100,4,46,False,worst,"[1, 2, 3, 0]",0.017813974247982877,0.026035442956331756,0.004393623466804315,0.00026141593591697877,0.5686994650857312,0.005567703588188959,0.22408333333333333,0.00022340286397890964,0.00022340286397890964,0.0385,0.5269999999999999
